huc_6,n,huc_pca_ratio,pca_huc_ratio
171001,p2,0.945631998,0.223060799
171001,p1,0.054368002,0.019267663
180702,p10,1,0.041677916
80402,p85,0.721662718,0.198188174
80402,p58,0.038684524,0.01035747
80402,p86,0.239652758,0.371900815
140401,p33,0.046960656,0.016699565
140401,p26,0.079566974,0.101454861
140401,p21,0.87347237,0.298687951
130403,p64,0.105136403,0.015939724
130403,p61,0.894863597,0.075854479
30602,p94,1,0.096088311
130800,p64,0.027954328,0.004943828
130800,p65,0.753187553,0.092763407
130800,p61,0.218858118,0.021640816
160600,p12,0.925229581,0.430911159
160600,p10,0.024203302,0.017772232
160600,p13,0.050567117,0.298281156
40601,p103,0.977174374,0.25392808
40601,p74,0.022825626,0.021371744
80602,p88,0.074946947,0.037751129
70802,p70,0.50234518,0.234400357
140100,p34,0.010855408,0.00188936
70801,p68,0.001256841,0.001540449
170300,p1,0.313725526,0.115257214
140700,p28,0.132908742,0.02296744
100500,p19,0.232670564,0.351679106
80203,p85,0.990592145,0.138954216
40400,p104,0.081548002,0.057545661
40400,p105,0.257917277,0.026429723
100301,p17,0.14583026,0.04167886
170300,p2,0.686274474,0.167815293
80401,p56,0.332683842,0.125507579
100500,p18,0.767329436,0.223078337
60102,p117,1.80E-06,2.14E-06
60102,p97,0.214116494,0.091013065
70802,p69,0.230758374,0.38899792
70802,p68,0.075367237,0.113190012
70802,p43,0.006066528,0.001607745
30601,p95,0.216707049,0.294270134
30601,p94,0.529861534,0.09790659
30601,p97,0.015779809,0.008685731
30601,p96,0.237651609,0.112588085
40802,p103,1,0.143928546
140600,p33,0.00525437,0.00160793
140600,p25,0.50797828,0.103231969
140600,p26,0.48676735,0.534117574
70801,p69,0.127716644,0.175702824
70801,p81,0.20399405,0.079253742
80802,p66,1.02E-06,6.06E-07
150200,p31,0.196406141,0.05304691
150200,p29,0.227736553,0.549261399
40400,p76,0.071252451,0.01426982
40400,p79,0.539531697,0.282624521
40400,p80,0.049750573,0.007806299
70801,p45,0.000293579,0.000139346
20600,p121,3.46E-05,6.85E-05
31001,p101,0.999999999,0.080067216
170501,p12,0.112151053,0.035982617
170501,p16,0.002096953,0.003202418
170501,p15,0.564608009,0.341654295
170501,p7,0.309304947,0.32176931
170501,p5,0.011839037,0.008378103
110500,p53,0.006294379,0.000718347
110500,p50,0.965550146,0.129761226
110500,p51,0.028155475,0.016824216
101702,p38,0.679953116,0.088493269
71000,p71,0.00424891,0.010664722
71000,p44,0.053913941,0.101766943
20600,p125,0.040581702,0.088524893
140700,p25,0.867091258,0.164821114
70300,p43,0.455697902,0.073821476
80802,p58,0.999998984,0.20080914
71000,p68,0.052435372,0.090140598
20600,p123,0.942499764,0.527477274
31401,p91,0.730717516,0.523035128
